file	section	name	seconds	outcome
profile-ci-build-34903415756.html	configuration	:client:linuxMainResolvableDependenciesMetadata	0.003	
profile-ci-build-34903415756.html	configuration	:client:macosArm64CompilationDependenciesMetadata	0.003	
profile-ci-build-34903415756.html	configuration	:client:macosArm64TestCompileKlibraries	0.003	
profile-ci-build-34903415756.html	configuration	:client:macosX64CompilationDependenciesMetadata	0.003	
profile-ci-build-34903415756.html	configuration	:client:metadataMacosMainCompileClasspath	0.003	
profile-ci-build-34903415756.html	configuration	:client:metadataNativeMainCompileClasspath	0.003	
profile-ci-build-34903415756.html	configuration	:client:mingwX64CompilationDependenciesMetadata	0.003	
profile-ci-build-34903415756.html	configuration	:client:mingwX64TestCompileKlibraries	0.003	
profile-ci-build-34903415756.html	configuration	:client:swiftPMDependenciesMetadataClasspath	0.003	
profile-ci-build-34903415756.html	configuration	:core:allSourceSetsCompileDependenciesMetadata	0.003	
profile-ci-build-34903415756.html	configuration	:core:jvmMainCompileClasspath	0.003	
profile-ci-build-34903415756.html	configuration	:core:jvmTestCompileClasspath	0.003	
profile-ci-build-34903415756.html	configuration	:core:jvmTestRuntimeClasspath	0.003	
profile-ci-build-34903415756.html	configuration	:core:ktlint	0.003	
profile-ci-build-34903415756.html	configuration	:dev:android-gradle-plugin:compileClasspath	0.003	
profile-ci-build-34903415756.html	configuration	:dev:sample-android:debugUnitTestRuntimeClasspath	0.003	
profile-ci-build-34903415756.html	configuration	:dev:sample-kotlin-jvm:compileClasspath	0.003	
profile-ci-build-34903415756.html	configuration	:dev:sample-kotlin-jvm:testRuntimeClasspath	0.003	
profile-ci-build-34903415756.html	configuration	:dev:server-jvm-keycloak:compileClasspath	0.003	
profile-ci-build-34903415756.html	configuration	:server:allSourceSetsCompileDependenciesMetadata	0.003	
profile-ci-build-34903415756.html	configuration	:server:jvmMainCompileClasspath	0.003	
profile-ci-build-34903415756.html	configuration	:server:nativeCompilationDependenciesMetadata	0.003	
profile-ci-build-34903415756.html	configuration	:shared:allSourceSetsCompileDependenciesMetadata	0.003	
profile-ci-build-34903415756.html	configuration	:client:appleMainResolvableDependenciesMetadata	0.002	
profile-ci-build-34903415756.html	configuration	:client:detachedConfiguration5	0.002	
profile-ci-build-34903415756.html	configuration	:client:iosMainResolvableDependenciesMetadata	0.002	
profile-ci-build-34903415756.html	configuration	:client:jvmSharedMainResolvableDependenciesMetadata	0.002	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathMetadataCommonMain	0.002	
profile-ci-build-34903415756.html	configuration	:client:kotlinNativeBundleConfiguration	0.002	
profile-ci-build-34903415756.html	configuration	:client:linuxX64TestCompileKlibraries	0.002	
profile-ci-build-34903415756.html	configuration	:client:macosX64TestCompileKlibraries	0.002	
profile-ci-build-34903415756.html	configuration	:client:metadataIosMainCompileClasspath	0.002	
