rep	metric	ms	verdict	load_before	load_after	mem_used_mb	log
1	incr_dbg	4714	ok	0.87	1.49	3226	r1-incr_dbg.log
2	incr_dbg	3444	ok	1.49	1.49	3346	r2-incr_dbg.log
3	incr_dbg	3901	ok	1.49	1.45	3445	r3-incr_dbg.log
4	incr_dbg	4632	ok	1.45	1.38	3732	r4-incr_dbg.log
