rep	metric	ms	verdict	log
1	incr_rel	135573	ok	r1-incr_rel.log
2	incr_rel	121047	ok	r2-incr_rel.log
3	incr_rel	123934	ok	r3-incr_rel.log
4	incr_rel	119910	ok	r4-incr_rel.log
